,training_median
NsssB,0.0
VR3_D,5.882706
VR2_D,5.773241
VR1_D,143.53705
VE3_D,2.5093517
VE2_D,0.19714804
VE1_D,4.9187827
SpMAD_D,11.173689
SpAD_D,276.51456
SpDiam_D,213.12697
SpMax_D,138.25728
SpAbs_D,276.51456
DetourIndex,2632.0
VR3_Dt,5.8834653
VR2_Dt,5.7668443
VR1_Dt,143.63437
VE3_Dt,2.510529
VE2_Dt,0.19757304
VE1_Dt,4.9245777
LogEE_D,138.25728
SdS,0.0
SsSH,0.0
SdsssP,0.0
SssssSi,0.0
SsF,0.0
SaaO,0.0
SssO,0.0
NdS,0.0
SsOH,0.0
SssssN,0.0
SaasN,0.0
SddsN,0.0
SsssN,1.9601438
SaaN,3.741218
SdsN,0.0
StN,0.0
SaaNH,0.0
SssNH,2.9602082
SdNH,0.0
SsNH2,0.0
SdO,13.811482
SsI,0.0
SsBr,0.0
SaaSe,0.0
SssSe,0.0
SssS,0.0
SsCl,0.0
SddssS,0.0
SaaS,0.0
SdSe,0.0
NaaSe,0.0
NssSe,0.0
NdSe,0.0
NsCl,0.0
NaaS,0.0
NssS,0.0
NsSH,0.0
NdsssP,0.0
NssssSi,0.0
NsF,0.0
NddssS,0.0
SssssC,0.0
SaaaC,0.0
SaasC,2.0120726
SdssC,-0.010816196
StsC,0.0
SsssCH,0.0
SaaCH,10.630123
SdsCH,0.0
StCH,0.0
SssCH2,3.8654351
SdCH2,0.0
SsCH3,1.6357574
NsI,0.0
NsBr,0.0
SsssB,0.0
nG12FRing,0.0
n12FRing,0.0
n11FRing,0.0
n10FRing,0.0
n9FRing,0.0
n8FRing,0.0
n7FRing,0.0
n6FRing,0.0
n5FRing,0.0
AXp-7dv,0.009251535
nG12AHRing,0.0
n12AHRing,0.0
n11AHRing,0.0
n10AHRing,0.0
n9AHRing,0.0
n8AHRing,0.0
n7AHRing,0.0
n6AHRing,1.0
n5AHRing,0.0
n4AHRing,0.0
n3AHRing,0.0
nFRing,0.0
nFaHRing,0.0
nG12FaRing,0.0
n12FaRing,0.0
n10FaRing,0.0
n9FaRing,0.0
n8FaRing,0.0
nFHRing,0.0
nFaRing,0.0
nG12FHRing,0.0
n12FHRing,0.0
n11FHRing,0.0
n10FHRing,0.0
n9FHRing,0.0
n8FHRing,0.0
n7FHRing,0.0
n6FHRing,0.0
n7aRing,0.0
n6aRing,1.0
n5aRing,0.0
n4aRing,0.0
nAHRing,1.0
naRing,2.0
nG12HRing,0.0
n12HRing,0.0
n11HRing,0.0
n10HRing,0.0
n9HRing,0.0
n8HRing,0.0
n7HRing,0.0
n6HRing,1.0
n5HRing,1.0
n4HRing,0.0
nG12ARing,0.0
n12ARing,0.0
n11ARing,0.0
n10ARing,0.0
n9ARing,0.0
n8ARing,0.0
n7ARing,0.0
n6ARing,1.0
n5ARing,0.0
n4ARing,0.0
n3ARing,0.0
naHRing,1.0
n6aHRing,0.0
n5aHRing,0.0
nARing,1.0
ATS0d,150.0
TopoPSA(NO),66.06
SMR,95.12625
SLogP,2.31305
RotRatio,0.15
nRot,4.0
nG12FAHRing,0.0
n12FAHRing,0.0
MWC05,7.407924
ATS8dv,227.0
ATS6dv,282.0
ATS5dv,325.0
ATS4dv,365.0
ATS3dv,412.0
ATS2dv,438.0
ATS1dv,319.0
ATS0dv,326.44446
nX,0.0
nI,0.0
nBr,0.0
nCl,0.0
ATS7dv,256.0
Radius,7.0
Diameter,14.0
JGT10,0.4094019
JGI10,0.0062520523
JGI9,0.007887654
JGI8,0.009561996
JGI7,0.013165509
JGI6,0.017259475
JGI5,0.023818638
JGI4,0.036051586
GGI1,4.5
JGI2,0.08024691
JGI1,0.1724138
GGI10,0.09478625
GGI9,0.135625
GGI8,0.18468128
GGI7,0.2934028
GGI6,0.44344673
GGI5,0.6805556
GGI4,1.1344445
GGI3,1.5694444
GGI2,2.8888888
JGI3,0.043447293
nFAHRing,0.0
nG12FARing,0.0
n12FARing,0.0
n11FARing,0.0
n10FARing,0.0
n9FARing,0.0
n8FARing,0.0
n7FARing,0.0
n6FARing,0.0
nF,0.0
nFARing,0.0
nG12FaHRing,0.0
n12FaHRing,0.0
n10FaHRing,0.0
n9FaHRing,0.0
n8FaHRing,0.0
n5FARing,0.0
nP,0.0
nS,0.0
nO,2.0
nN,3.0
nC,19.0
nB,0.0
nH,22.0
nHetero,6.0
nBridgehead,0.0
VE3_A,2.3390875
nHeavyAtom,25.0
nAromBond,11.0
nAromAtom,11.0
VR3_A,6.375791
VR2_A,9.442427
VR1_A,234.98003
n11FAHRing,0.0
n10FAHRing,0.0
n9FAHRing,0.0
n8FAHRing,0.0
n7FAHRing,0.0
n6FAHRing,0.0
nAtom,47.0
MIC5,38.96631
MIC4,38.913776
MIC3,38.66468
MIC2,37.05304
MIC1,31.476162
MIC0,14.573456
CIC5,0.55
CIC4,0.5638213
CIC3,0.6666667
CIC2,1.1890252
n3HRing,0.0
CIC0,4.012151
BIC5,0.8609201
BIC4,0.85821486
BIC3,0.84233457
BIC2,0.75096774
BIC1,0.5819592
BIC0,0.26573718
SIC5,0.9011792
SIC4,0.8987932
SIC3,0.88063186
SIC2,0.78577423
CIC1,2.1725926
PEOE_VSA9,6.5447564
PEOE_VSA8,36.827362
PEOE_VSA7,35.895287
PEOE_VSA6,18.208754
PEOE_VSA5,0.0
PEOE_VSA4,0.0
PEOE_VSA3,4.390415
PEOE_VSA2,9.589074
PEOE_VSA1,14.7433
LabuteASA,146.33742
ZMIC0,82.374146
FilterItLogS,-4.097839
GhoseFilter,1.0
Lipinski,1.0
Kier3,5.0192595
Kier2,9.0
Kier1,19.322235
ZMIC5,24.950918
ZMIC4,25.048695
ZMIC3,25.676588
ZMIC2,30.037933
ZMIC1,44.275368
VMcGowan,260.99
ETA_epsilon_5,0.8
ETA_epsilon_4,0.53281987
ETA_epsilon_2,0.83076924
ETA_epsilon_1,0.5794326
AETA_eta_L,0.24757358
ETA_eta_L,6.143402
AETA_eta,0.8250346
ETA_eta,20.495255
AETA_beta_ns_d,0.0
ETA_beta_ns_d,0.0
SIC1,0.60923064
ETA_beta_ns,13.5
AETA_beta_s,0.65
ETA_beta_s,16.0
AETA_beta,1.1923077
ETA_beta,29.25
ETA_shape_x,0.0
ETA_shape_y,0.29411766
ETA_shape_p,0.10324484
AETA_alpha,0.4722222
ETA_alpha,11.7
ECIndex,590.0
AETA_beta_ns,0.54
SIC0,0.27841648
TIC5,236.56842
TIC4,235.61101
TIC3,230.36589
TIC2,205.32896
TIC1,158.9138
TIC0,72.98515
IC5,5.027569
IC4,5.003056
IC3,4.8984556
IC2,4.365337
ETA_dEpsilon_B,0.045063026
IC0,1.5453117
nHBDon,1.0
nHBAcc,4.0
fMF,0.44444445
fragCpx,129.07
ETA_dPsi_B,0.0
ETA_dPsi_A,0.14372537
ETA_psi_1,0.57027465
AETA_dBeta,-0.112068966
ETA_dBeta,-2.75
ETA_dEpsilon_D,0.025468975
IC1,3.3833013
piPC3,4.5849676
piPC2,4.0775375
piPC1,3.5553482
TMPC10,633.0
MPC10,80.0
MPC9,77.0
MPC8,75.0
MPC7,74.0
MPC6,68.0
MPC5,68.0
PEOE_VSA10,0.0
MPC3,47.0
MPC2,37.0
AMID_X,0.0
MID_X,0.0
AMID_O,0.14664501
MID_O,3.569498
AMID_N,0.29509822
MID_N,6.659853
AMID_C,1.5556657
MID_C,38.504124
AMID_h,0.48261553
MPC4,57.0
nHRing,2.0
nG12Ring,0.0
n12Ring,0.0
n11Ring,0.0
n10Ring,0.0
n9Ring,0.0
n8Ring,0.0
n7Ring,0.0
n6Ring,2.0
n5Ring,1.0
piPC4,5.040194
n3Ring,0.0
nRing,3.0
bpol,28.79976
apol,52.42903
TpiPC10,7.855749
piPC10,6.3272877
piPC9,6.132843
piPC8,5.905021
piPC7,5.7712464
piPC6,5.5390553
piPC5,5.4640965
n4Ring,0.0
SlogP_VSA10,0.0
SlogP_VSA8,0.0
SlogP_VSA7,0.0
SlogP_VSA6,36.52868
SlogP_VSA5,27.905714
SlogP_VSA4,0.0
SlogP_VSA3,6.5447564
SlogP_VSA2,48.061947
SlogP_VSA1,5.3167887
MID_h,11.887524
SMR_VSA7,51.473988
SMR_VSA6,26.179026
SMR_VSA5,19.510334
SMR_VSA4,0.0
SMR_VSA3,15.116608
SMR_VSA2,0.0
SMR_VSA1,9.589074
PEOE_VSA13,5.90718
PEOE_VSA12,0.0
PEOE_VSA11,0.0
SMR_VSA9,0.0
AMID,2.0378666
MID,50.6014
MDEC-23,16.222126
MDEC-22,14.131414
VSA_EState9,0.0
VSA_EState8,3.81156
VSA_EState7,1.8870823
VSA_EState6,9.437798
VSA_EState5,0.10423203
VSA_EState4,1.9920571
VSA_EState3,6.0799117
SlogP_VSA11,0.0
VSA_EState1,1.4135448
EState_VSA10,9.589074
EState_VSA9,0.0
EState_VSA8,15.950366
EState_VSA7,29.165379
EState_VSA6,11.336786
EState_VSA5,5.5634513
EState_VSA4,29.69945
EState_VSA3,18.652964
EState_VSA2,11.81436
EState_VSA1,0.0
VSA_EState2,23.205503
ATSC3m,-209.15869
ATSC2m,4.3606772
ATSC1m,93.5992
ATSC0m,1730.0337
ATSC8Z,-1.0933334
ATSC7Z,-2.024963
ATSC6Z,-31.937763
ATSC5Z,-21.513994
ATSC4Z,-71.04798
ATSC3Z,-43.042336
Xc-6d,0.0
ATSC1Z,19.942627
ATSC0Z,362.30768
ATSC8s,-1.0852778
ATSC7s,-2.217035
ATSC6s,-3.7362213
ATSC5s,-13.465679
ATSC4s,-15.64531
ATSC3s,2.1998844
ATSC2s,5.7492094
ATSC1s,-1.3194004
ATSC0s,70.541084
ATSC2Z,1.0136042
ATSC0pe,5.0669923
ATSC8se,-0.07019362
ATSC7se,0.0056593963
ATSC6se,-0.0267907
ATSC5se,-0.4899432
ATSC4se,-0.85671556
ATSC3se,-0.2068957
ATSC2se,0.28683746
ATSC1se,-0.062423997
ATSC0se,3.1064408
ATSC8v,-55.579033
ATSC4m,-335.69574
ATSC6v,-328.5894
ATSC5v,101.919014
ATSC4v,-394.01883
ATSC3v,-401.6195
ATSC2v,5.5710573
ATSC1v,-4.9038863
ATSC0v,2345.4585
ATSC8m,-6.6245856
ATSC7m,-10.586838
ATSC6m,-155.34314
ATSC5m,-95.55289
ATSC7v,-40.149902
AATS0i,164.12155
AATS7p,1.1673162
AATS6p,1.225044
AATS5p,1.188796
AATS4p,1.187993
AATS3p,1.3326421
AATS2p,1.5196484
AATS1p,1.7866021
AATS0p,1.4636016
AATS7are,5.9057093
AATS6are,5.933573
ATSC8d,-0.94008267
AATS4are,6.0670567
AATS3are,6.0839977
AATS2are,6.2559724
AATS1are,6.3343263
AATS0are,6.1126
AATS7pe,5.979381
AATS6pe,6.0155296
AATS5pe,6.095746
AATS4pe,6.1369762
AATS3pe,6.1735635
AATS2pe,6.358543
AATS5are,6.027111
ATSC7d,-0.4979339
ATSC6d,-1.2728508
ATSC5d,0.59590954
ATSC4d,-3.2700238
ATSC3d,-8.551258
ATSC2d,-5.281121
ATSC1d,8.172346
ATSC0d,26.352942
ATSC8dv,-0.76046455
ATSC7dv,-6.674013
ATSC6dv,-14.201183
AATS1i,147.99344
ATSC4dv,-44.14928
ATSC3dv,-27.56458
ATSC2dv,10.768589
ATSC1dv,50.619785
ATSC0dv,176.0
AATS7i,163.72775
AATS6i,161.6247
AATS5i,163.94824
AATS4i,163.30595
AATS3i,159.78067
AATS2i,156.88882
ATSC5dv,-22.570763
AATSC4m,-2.714867
AATSC3m,-1.8007011
AATSC2m,0.049620613
AATSC1m,1.8669437
AATSC0m,35.03738
AATSC7Z,-0.021423263
AATSC6Z,-0.31500465
AATSC5Z,-0.19247915
AATSC4Z,-0.57565486
AATSC3Z,-0.37002176
AATSC2Z,0.011661237
ATSC1pe,0.10860655
AATSC0Z,7.355932
AATSC7s,-0.022999346
AATSC6s,-0.036328837
AATSC5s,-0.11883525
AATSC4s,-0.1281958
AATSC3s,0.018794179
AATSC2s,0.065243386
AATSC1s,-0.026593255
AATSC0s,1.4329214
AATSC7d,-0.0053303116
AATSC6d,-0.012987447
AATSC1Z,0.39777777
AATSC4pe,-0.010462016
AATSC3pe,-0.002571878
AATSC2pe,0.0036703527
AATSC1pe,0.0022022761
AATSC0pe,0.10703664
AATSC7se,6.0562743e-05
AATSC6se,-0.00026341755
AATSC5se,-0.0042813644
AATSC4se,-0.0068821637
AATSC3se,-0.0017515207
AATSC2se,0.0032900027
AATSC5m,-0.8541674
AATSC0se,0.06639798
AATSC7v,-0.428302
AATSC6v,-3.2989457
AATSC5v,0.91651875
AATSC4v,-3.2521644
AATSC3v,-3.4664912
AATSC2v,0.06543781
AATSC1v,-0.09773318
AATSC0v,49.849907
AATSC7m,-0.113385454
AATSC6m,-1.5392686
AATSC1se,-0.0012429629
ATSC6p,-1.4494069
ATSC5p,1.0858488
ATSC4p,-1.6700916
ATSC3p,-2.1912045
ATSC2p,0.25161153
ATSC1p,-0.5134086
ATSC0p,10.951759
ATSC8are,-0.038769953
ATSC7are,0.04449218
ATSC6are,-0.065011986
ATSC5are,-0.82586944
AATSC5d,0.0054200543
ATSC3are,-0.32105178
ATSC2are,0.3831889
ATSC1are,0.020658264
ATSC0are,5.316878
ATSC8pe,-0.0030679014
ATSC7pe,0.043429717
ATSC6pe,-0.0886011
ATSC5pe,-0.76487136
ATSC4pe,-1.2933321
ATSC3pe,-0.29967403
ATSC2pe,0.32005876
ATSC4are,-1.3946047
AATSC4d,-0.026936822
AATSC3d,-0.074465886
AATSC2d,-0.060827054
AATSC1d,0.16544117
AATSC0d,0.5592212
AATSC7dv,-0.07067693
AATSC6dv,-0.1402091
AATSC5dv,-0.20209895
AATSC4dv,-0.3629601
AATSC3dv,-0.23646934
AATSC2dv,0.124044284
ATSC7p,-0.15504462
AATSC0dv,3.731358
ATSC8i,-4.140334
ATSC7i,-1.1204818
ATSC6i,-7.9211407
ATSC5i,5.8636475
ATSC4i,-12.473893
ATSC3i,-8.300668
ATSC2i,4.6212068
ATSC1i,-12.920928
ATSC0i,73.16629
ATSC8p,-0.3801151
AATSC1dv,1.027206
ATS8Z,1091.0
ATS7Z,1253.0
ATS6Z,1414.0
ATS5Z,1578.0
ATS4Z,1777.0
ATS3Z,1915.0
ATS2Z,1774.0
ATS1Z,1219.0
ATS0Z,1068.0
ATS8s,213.11111
AATS1pe,6.477925
ATS6s,269.5
ATS5s,318.52777
ATS4s,355.75
ATS3s,320.16666
ATS2s,251.0
ATS1s,146.91435
ATS0s,199.67361
ATS8d,199.0
ATS7d,235.0
ATS6d,259.0
ATS5d,282.0
ATS7s,249.67593
ATS5se,857.44324
ATS4se,947.3993
ATS3se,883.4595
ATS2se,675.7871
ATS1se,382.5072
ATS0se,360.81485
ATS8v,12135.648
ATS7v,14230.242
ATS6v,16165.363
ATS5v,17592.238
ATS4v,19509.29
ATS0m,4214.228
ATS2v,18672.098
ATS1v,12789.196
ATS0v,10078.694
ATS8m,3802.1309
ATS7m,4334.2856
ATS6m,4915.336
ATS5m,5494.5957
ATS4m,6188.7246
ATS3m,6845.088
ATS2m,6557.3965
ATS1m,4615.4873
ATS3v,20887.36
MWC08,10.00066
MWC07,9.131729
MWC06,8.273592
TopoShapeIndex,0.9166667
MWC04,6.555357
MWC03,5.6937323
MWC02,4.8598123
MWC01,27.0
VAdjMat,5.7548876
PetitjeanIndex,0.47826087
VE2_A,0.17217611
ATS4d,318.0
LogEE_A,4.137526
SpMAD_A,1.3094412
SpAD_A,32.273647
SpDiam_A,4.7501717
SpMax_A,2.3929908
SpAbs_A,32.273647
nBase,1.0
nAcid,0.0
ABCGG,14.950457
ABC,19.229782
mZagreb2,5.4722223
VE1_A,4.2060604
ATS3d,338.0
ATS2d,302.0
ATS1d,191.0
TopoPSA,69.31
mZagreb1,7.5
Zagreb2,148.0
Zagreb1,128.0
WPol,37.0
WPath,1654.0
AMW,7.2344217
MW,342.20557
MWC09,10.86232
SRW10,10.019001
SRW09,6.2934194
SRW08,8.393669
SRW07,4.4426513
SRW06,6.8101425
SRW05,2.3978953
SRW04,5.313206
SRW03,0.0
SRW02,4.0073333
TMWC10,126.182724
MWC10,11.730815
TSRW10,69.87933
AATS0m,88.178825
AATS7Z,13.274194
AATS6Z,13.964809
AATS5Z,14.109091
AATS4Z,14.376923
AATS3Z,16.508772
AATS2Z,20.235294
AATS1Z,24.56
AATS0Z,22.340425
AATS7s,2.6006944
AATS6s,2.6279957
ATS6se,764.5045
AATS4s,2.8643858
AATS3s,2.7393162
AATS2s,2.8450713
AATS1s,2.9636753
AATS0s,4.153924
AATS7d,2.4880953
AATS6d,2.5504587
AATS5d,2.5137615
AATS4d,2.5677967
AATS3d,2.9159663
AATS2d,3.4504504
AATS5s,2.8136
AATS0pe,6.1874084
AATS7se,7.5021963
AATS6se,7.5149536
AATS5se,7.612917
AATS4se,7.6449757
AATS3se,7.619643
AATS2se,7.725668
AATS1se,7.7431355
AATS0se,7.637766
AATS7v,151.14197
AATS6v,160.0856
AATS1m,93.06103
AATS4v,158.08243
AATS3v,180.51857
AATS2v,213.95491
AATS1v,259.24524
AATS0v,214.46802
AATS7m,46.044655
AATS6m,48.655624
AATS5m,49.27646
AATS4m,50.12429
AATS3m,59.12327
AATS2m,74.8086
AATS5v,157.59683
ATS2p,133.11415
ATS1p,88.36286
ATS0p,69.54115
ATS8are,471.30896
ATS7are,563.11
ATS6are,604.62683
ATS5are,679.4885
ATS4are,752.1439
ATS3are,706.1039
ATS2are,547.561
ATS1are,312.9579
AATS1d,3.8703704
ATS8pe,476.99185
ATS7pe,569.8377
ATS6pe,612.5801
ATS5pe,686.7058
ATS4pe,760.5503
ATS3pe,716.28284
ATS2pe,556.3532
ATS1pe,320.02975
ATS0pe,292.746
ATS8se,597.1329
ATS7se,715.22986
ATS0are,289.3447
AATS0d,3.1923077
AATS7dv,2.7168884
AATS6dv,2.8119235
AATS5dv,2.935484
AATS4dv,2.9814816
AATS3dv,3.57948
AATS2dv,5.047034
AATS1dv,6.4897957
AATS0dv,6.947846
ATS8i,12957.915
ATS7i,15584.875
ATS3p,154.6413
ATS5i,18421.998
ATS4i,20185.941
ATS3i,18480.34
ATS2i,13714.677
ATS1i,7311.2456
ATS0i,7735.241
ATS8p,93.267685
ATS7p,110.727646
ATS6p,124.45068
ATS5p,133.3413
ATS4p,147.32825
ATS6i,16419.84
SM1_Dzpe,1.1621788
LogEE_Dzpe,112.11183
SpMAD_Dzpe,9.071565
SpAD_Dzpe,224.1903
SpDiam_Dzpe,174.66586
SpMax_Dzpe,112.11183
SpAbs_Dzpe,223.16168
VR3_Dzse,5.877952
VR2_Dzse,5.753977
VR1_Dzse,142.88055
AATSC5pe,-0.0067580626
VE2_Dzse,0.19729742
VE1_Dzse,4.9156237
SM1_Dzse,1.0580416
LogEE_Dzse,113.11467
SpMAD_Dzse,9.153253
SpAD_Dzse,226.18407
SpDiam_Dzse,176.29465
SpMax_Dzse,113.11467
SpAbs_Dzse,225.23557
VR3_Dzv,5.877475
VR2_Dzv,5.761439
VE3_Dzse,2.5087094
SpMAD_Dzp,12.307488
SpAD_Dzp,304.50165
SpDiam_Dzp,236.52151
SpMax_Dzp,151.53648
SpAbs_Dzp,307.43298
VR3_Dzare,5.878232
VR2_Dzare,5.754508
VR1_Dzare,142.91544
VE3_Dzare,2.5086777
VE2_Dzare,0.19727376
VE1_Dzare,4.915468
VE1_Dzpe,4.91556
LogEE_Dzare,110.84442
SpMAD_Dzare,8.968994
SpAD_Dzare,221.66248
SpDiam_Dzare,172.6324
SpMax_Dzare,110.84442
SpAbs_Dzare,220.51828
VR3_Dzpe,5.878093
VR2_Dzpe,5.7544613
VR1_Dzpe,142.89606
VE3_Dzpe,2.5086963
VE2_Dzpe,0.1972844
SM1_Dzare,1.3140996
VR2_DzZ,5.7507043
VR1_DzZ,142.77556
VE3_DzZ,2.508748
VE2_DzZ,0.19733272
VE1_DzZ,4.915814
SM1_DzZ,1.1785715
LogEE_DzZ,112.018074
SpMAD_DzZ,9.067521
SpAD_DzZ,224.0498
SpDiam_DzZ,174.78125
SpMax_DzZ,112.018074
VR1_Dzv,142.87675
BalabanJ,1.3804386
BCUTi-1l,10.949481
BCUTi-1h,14.552658
BCUTp-1l,0.7511637
BCUTp-1h,1.9942951
BCUTare-1l,2.188709
BCUTare-1h,3.5455303
BCUTpe-1l,2.2385812
BCUTpe-1h,3.490879
BCUTse-1l,2.434561
BCUTse-1h,3.703746
SpAbs_DzZ,223.00955
VE3_Dzv,2.5082061
VE2_Dzv,0.19745779
VE1_Dzv,4.913151
SM1_Dzv,-2.0716686
LogEE_Dzv,138.70367
SpMAD_Dzv,11.252918
SpAD_Dzv,278.06638
SpDiam_Dzv,216.84453
SpMax_Dzv,138.70367
SpAbs_Dzv,279.45624
VR3_Dzm,5.8771286
VR3_DzZ,5.8771796
VR1_Dzm,142.76846
VE3_Dzm,2.508753
VE2_Dzm,0.19733404
VE1_Dzm,4.9158387
SM1_Dzm,1.1752973
LogEE_Dzm,112.00894
SpMAD_Dzm,9.06795
SpAD_Dzm,224.01541
SpDiam_Dzm,174.78893
SpMax_Dzm,112.00894
SpAbs_Dzm,222.99998
VR2_Dzm,5.7505093
Xp-5d,5.3725443
Xp-4d,6.9789653
Xp-3d,8.927147
Xp-2d,10.67125
Xp-1d,12.024878
Xp-0d,17.484917
Xpc-6dv,2.190117
Xpc-5dv,1.8594065
Xpc-4dv,1.467905
Xpc-6d,7.311514
Xpc-5d,5.267785
LogEE_Dzp,151.53648
Xc-6dv,0.0
Xc-5dv,0.087072775
Xc-4dv,0.0
Xc-3dv,0.7346814
nSpiro,0.0
Xc-5d,0.35394496
Xc-4d,0.0
Xc-3d,1.5016613
Xch-7dv,0.13845713
Xch-6dv,0.12655543
Xch-5dv,0.02795085
Xpc-4d,3.6181662
AXp-5dv,0.031053163
AXp-4dv,0.055318076
AXp-3dv,0.09886351
AXp-2dv,0.177266
AXp-1dv,0.32100475
AXp-0dv,0.58002365
Xp-7dv,0.70245016
Xp-6dv,1.1763277
Xp-5dv,2.141461
Xp-4dv,3.2145195
Xp-3dv,4.715545
Xp-6d,3.5037858
Xp-1dv,8.704964
Xp-0dv,14.394388
AXp-7d,0.033040598
AXp-6d,0.051062576
AXp-5d,0.07884854
AXp-4d,0.12216049
AXp-3d,0.18907979
AXp-2d,0.2889772
AXp-1d,0.44509494
AXp-0d,0.70581913
Xp-7d,2.4378905
Xp-2dv,6.5788946
nBondsO,27.0
nBonds,49.0
BertzCT,734.7618
VR3_Dzi,5.8792973
VR2_Dzi,5.76005
VR1_Dzi,143.06406
VE3_Dzi,2.5084918
VE2_Dzi,0.19724151
VE1_Dzi,4.914554
SM1_Dzi,1.2057934
LogEE_Dzi,109.50864
Xch-4dv,0.0
SpAD_Dzi,219.03535
SpDiam_Dzi,170.28592
SpMax_Dzi,109.50864
SpAbs_Dzi,217.98605
VR3_Dzp,5.8794622
VR2_Dzp,5.7802887
VR1_Dzp,143.23135
VE3_Dzp,2.5070062
VE2_Dzp,0.19744715
VE1_Dzp,4.907259
SM1_Dzp,-4.2373157
SpMAD_Dzi,8.861389
Xch-3dv,0.0
Xch-7d,0.4003674
Xch-6d,0.31804138
Xch-5d,0.096225046
Xch-4d,0.0
Xch-3d,0.0
FCSP3,0.3888889
HybRatio,0.3888889
C4SP3,0.0
C3SP3,0.0
C2SP3,2.0
nBondsS,36.0
C3SP2,2.0
C2SP2,6.0
C1SP2,2.0
C2SP1,0.0
C1SP1,0.0
nBondsKD,7.0
nBondsKS,42.0
nBondsM,13.0
nBondsA,11.0
nBondsT,0.0
nBondsD,2.0
C1SP3,5.0
MATS3se,-0.028594228
MATS2se,0.05202112
MATS1se,-0.019227393
